id,name,cuisine,category,instructions,ingredients,image_url,tags
np011,Kwati (Mixed Bean Soup),Nepali,Main Course,"1. Soak mixed beans overnight,2. Cook beans until tender,3. Heat oil in a large pot,4. Add cumin seeds, asafoetida,5. Add ginger-garlic paste,6. Add tomatoes and cook until soft,7. Add spices: turmeric, coriander, red chili,8. Add cooked beans with their liquid,9. Simmer for 20-30 minutes,10. Add spinach in the last 5 minutes,11. Garnish with cilantro","1 cup Mixed beans (black gram, kidney beans, chickpeas, etc.),2 Tomatoes,1 tbsp Ginger-garlic paste,1 cup Spinach,2 tbsp Oil,1 tsp Cumin seeds,Pinch Asafoetida,1 tsp Turmeric,1 tsp Coriander powder,1 tsp Red chili powder,Salt to taste,Fresh cilantro",/src/assets/recipes/np011.jpg,"Healthy,Protein Rich,Traditional"
np012,Aloo Tama (Potato Bamboo Shoot Curry),Nepali,Main Course,"1. Soak dried bamboo shoots in warm water for 30 minutes,2. Heat oil in a pressure cooker,3. Add cumin seeds and asafoetida,4. Add ginger, garlic, and green chilies,5. Add turmeric and red chili powder,6. Add potatoes and bamboo shoots,7. Add black-eyed peas (soaked overnight),8. Add water and salt,9. Pressure cook for 3-4 whistles,10. Garnish with cilantro","500g Potatoes,200g Dried bamboo shoots,1 cup Black-eyed peas,3 tbsp Oil,1 tsp Cumin seeds,Pinch Asafoetida,1 tbsp Ginger-garlic paste,2 Green chilies,1 tsp Turmeric,1 tsp Red chili powder,Salt to taste,Fresh cilantro",/src/assets/recipes/np012.png,"Traditional,Vegetarian,Comfort Food"
np013,Sisnu ko Saag (Nettle Curry),Nepali,Side Dish,"1. Wear gloves and wash nettle leaves carefully,2. Boil water and blanch nettles for 2 minutes,3. Drain and chop the nettles,4. Heat oil in a pan,5. Add cumin seeds and asafoetida,6. Add ginger, garlic, and onions,7. Add tomatoes and cook until soft,8. Add turmeric and red chili powder,9. Add blanched nettles,10. Cook for 10-15 minutes,11. Season with salt","500g Fresh nettle leaves,1 Onion,2 Tomatoes,1 tbsp Ginger-garlic paste,3 tbsp Oil,1 tsp Cumin seeds,Pinch Asafoetida,1/2 tsp Turmeric,1 tsp Red chili powder,Salt to taste",/src/assets/recipes/np013.jpg,"Healthy,Green Vegetable,Traditional"
np014,Bara (Lentil Pancakes),Nepali,Snack,"1. Soak black gram dal for 4-5 hours,2. Grind to a smooth paste with minimal water,3. Add salt, ginger, and green chilies,4. Heat oil in a flat pan,5. Spread batter in circular motion,6. Cook until golden brown on both sides,7. Serve hot with achar (pickle)","2 cups Black gram dal,1 tsp Salt,1 inch Ginger,2 Green chilies,Oil for frying",/src/assets/recipes/np014.jpg,"Snack,Protein Rich,Newari"
np015,Sukuti (Dried Meat),Nepali,Side Dish,"For Drying:,1. Cut meat into thin strips,2. Marinate with salt and spices,3. Dry in the sun for 3-4 days,For Cooking:,1. Soak dried meat in warm water,2. Heat oil in a pan,3. Add cumin seeds and dried chilies,4. Add ginger, garlic, and onions,5. Add soaked sukuti,6. Stir-fry until crispy,7. Add tomatoes and spices,8. Cook until well combined","500g Dried meat (sukuti),2 Onions,2 Tomatoes,1 tbsp Ginger-garlic paste,3 tbsp Oil,1 tsp Cumin seeds,3-4 Dried red chilies,1 tsp Coriander powder,Salt to taste",/src/assets/recipes/np015.jpg,"Preserved,High Protein,Traditional"
np016,Juju Dhau (King Curd),Nepali,Dessert,"1. Heat full-fat milk in a heavy-bottomed pan,2. Reduce milk to half by slow cooking,3. Let it cool to lukewarm temperature,4. Add yogurt starter and sugar,5. Mix well and pour into clay pots,6. Cover and keep in a warm place,7. Let it set for 6-8 hours,8. Refrigerate before serving","1 liter Full-fat milk,2 tbsp Yogurt starter,3 tbsp Sugar,Clay pots for setting",/src/assets/recipes/np016.jpg,"Dessert,Fermented,Bhaktapur Special"
np017,Choila (Spiced Grilled Meat),Nepali,Appetizer,"1. Marinate meat with salt and turmeric,2. Grill or roast over open fire until cooked,3. Let it cool and cut into small pieces,4. Mix with finely chopped onions,5. Add ginger, garlic, and green chilies,6. Add spices: cumin, coriander, red chili,7. Add mustard oil and lemon juice,8. Mix well and let marinate for 30 minutes,9. Garnish with cilantro and serve","500g Buff or chicken,2 Onions,1 tbsp Ginger-garlic paste,3 Green chilies,1 tsp Cumin powder,1 tsp Coriander powder,1 tsp Red chili powder,2 tbsp Mustard oil,1 tbsp Lemon juice,Fresh cilantro",/src/assets/recipes/np017.jpg,"Spicy,Grilled,Newari"
np018,Laphing (Cold Noodles),Nepali,Snack,"1. Cut laphing into strips,2. Place in serving bowls,3. Prepare sauce with soy sauce, vinegar, and chili oil,4. Add garlic, ginger paste,5. Mix mustard oil and sesame oil,6. Add chopped spring onions,7. Pour sauce over laphing,8. Toss well and serve cold","200g Laphing (mung bean starch noodles),3 tbsp Soy sauce,2 tbsp Vinegar,1 tbsp Chili oil,1 tsp Garlic paste,1 tsp Ginger paste,1 tbsp Mustard oil,1 tsp Sesame oil,2 Spring onions",/src/assets/recipes/np018.jpg,"Cold,Spicy,Tibetan-Nepali"
ind001,Baingan Bharta,Indian,Vegetarian,"1. Roast the aubergine over an open flame or in an oven until the skin is charred and the flesh is soft.,2. Let it cool, then peel off the skin and mash the flesh.,3. Heat oil in a pan, add chopped onions and sauté until golden brown.,4. Add minced garlic and green chilli, sauté for a minute.,5. Add chopped tomatoes and cook until they soften.,6. Stir in red chilli powder, salt, and mix well.,7. Add the mashed aubergine and cook for 5-7 minutes, stirring occasionally.,8. Garnish with chopped coriander leaves before serving.","1 large Aubergine,½ cup Onion,1 cup Tomatoes,6 cloves Garlic,1 Green Chilli,¼ teaspoon Red Chilli Powder,1.5 tablespoon Oil,1 tablespoon chopped Coriander Leaves,as required salt",/src/assets/recipes/ind001.jpg,"Spicy,Bun,Calorific"
ind002,Chicken Handi,Indian,Chicken,"1. Heat oil in a handi or deep pan, add cumin seeds and let them splutter.,2. Add sliced onions and sauté until golden brown.,3. Add chopped garlic and ginger paste, sauté for a minute.,4. Add chopped tomatoes and cook until they soften.,5. Add turmeric powder, chilli powder, coriander seeds, and green chillies, mix well.,6. Add chicken pieces and cook until they are browned on all sides.,7. Stir in yogurt and cream, cook on low heat until chicken is tender.,8. Add dried fenugreek leaves and garam masala, mix well.,9. Adjust salt to taste and cook for another 5 minutes.,10. Garnish with fresh coriander leaves before serving.","1.2 kg Chicken,5 thinly sliced Onion,2 finely chopped Tomatoes,8 cloves chopped Garlic,1 tbsp Ginger paste,¼ cup Vegetable oil,2 tsp Cumin seeds,3 tsp Coriander seeds,1 tsp Turmeric powder,1 tsp Chilli powder,2 Green chilli,1 cup Yogurt,¾ cup Cream,3 tsp Dried fenugreek,1 tsp Garam masala,To taste Salt",/src/assets/recipes/ind002.jpg,
ind003,Dal fry,Indian,Vegetarian,"1. Wash the Toor dal thoroughly and soak it in water for 30 minutes.,2. In a pressure cooker, add the soaked dal, water, salt, and turmeric. Cook for 3-4 whistles or until the dal is soft.,3. In a separate pan, heat ghee and add cumin seeds and mustard seeds. Let them splutter.,4. Add bay leaves, green chili, and ginger. Sauté for a minute.,5. Add chopped tomatoes and cook until they are soft.,6. Add the cooked dal to the pan and mix well.,7. Adjust seasoning with salt, red pepper, sugar, and garam masala.,8. Garnish with chopped cilantro before serving.","1 cup Toor dal,2-1/2 cups Water,1 tsp Salt,1/4 tsp Turmeric,3 tbs Ghee,1 cup Chopped tomatoes,1/2 tsp Cumin seeds,1/2 tsp Mustard Seeds,2 Bay Leaf,1 tbs chopped Green Chilli,2 tsp shredded Ginger,2 tbs Cilantro,1/2 tsp Red Pepper,1/2 tsp Salt,1 tsp Sugar,1/4 tsp Garam Masala",/src/assets/recipes/ind003.jpg,"Curry,Vegetarian,Cake"
ind004,Rajma Curry,Indian,Vegetarian,,"1 tbls Vegetable Oil,1 finely chopped Onion,2 cloves chopped Garlic,1 part Ginger,1 Packet Coriander,1 tsp Cumin,1 tsp Paprika,2 tsp Garam Masala,400g Chopped Tomatoes,400g Kidney Beans,to serve Basmati Rice",/src/assets/recipes/ind004.jpg,Curry
ind005,Lamb Biryani,Indian,Lamb,"1. Soak the basmati rice in water for 30 minutes, then drain.,2. In a large pot, heat ghee and sauté onions until golden brown.,3. Add ginger-garlic paste and sauté for a minute.,4. Add the lamb pieces and brown them on all sides.,5. Stir in yogurt, mint leaves, and cilantro.,6. Add soaked rice, saffron milk, and enough water to cook the rice.,7. Season with salt and biryani masala.,8. Cover and cook on low heat until the rice is done.","12 Cashew nuts,½ tbsp Khus khus,½ tbsp Cumin seeds,3 sliced thinly Onions,2 tsp Ginger garlic paste,4 whole Garlic,Leaves Mint,Leaves Cilantro,½ tsp dissolved in ½ cup warm milk Saffron,2 tbsp Ghee,2 Cups Basmati rice,½ cup Full fat yogurt,1 tbsp Cumin Seeds,½ Bay leaf,1 thin piece Cinnamon,3 Cloves,2 Cardamom,1 lb Lamb,1 tsp Red Chilli powder,1 tbsp Biryani masala",/src/assets/recipes/ind005.jpg,"Curry,Meat"
ind006,Matar Paneer,Indian,Vegetarian,"1. Heat oil in a pan, add cumin seeds and let them splutter.,2. Add chopped onions and sauté until golden brown.,3. Add ginger and green chilli, sauté for a minute.,4. Add chopped tomatoes and cook until they soften.,5. Stir in peas, salt, and garam masala.,6. Cook for 5-7 minutes, stirring occasionally.,7. Garnish with chopped coriander leaves before serving.","1 tbls Sunflower Oil,225g Paneer,2 Ginger,1 tsp Cumin,1 tsp Turmeric,1 tsp Coriander,1 Green Chilli,4 large Tomato,150g Peas,1 tsp Garam Masala,Small bunch Coriander,to serve Naan Bread",/src/assets/recipes/ind006.jpg,"Curry,Vegetarian"
ind007,Nutty Chicken Curry,Indian,Chicken,"1. Heat oil in a pan, add chopped onions and sauté until golden brown.,2. Add minced garlic and ginger, and sauté for a minute.,3. Add chicken pieces and cook until browned.,4. Stir in peanut butter and chicken stock, and simmer until chicken is cooked through.,5. Add yogurt and mix well before serving.","1 large Red Chilli,0.5 Ginger,1 large Garlic,Bunch Coriander,1 tbsp Sunflower Oil,4 Chicken Breasts,5 tblsp Peanut Butter,150ml Chicken Stock,200g Greek Yogurt",/src/assets/recipes/ind007.jpg,
ind008,Butter Chicken,Indian,Chicken,"1. Marinate chicken with yogurt, lemon juice, and spices for 2 hours,2. Grill or pan-fry chicken until cooked,3. Heat butter in a pan, add ginger-garlic paste,4. Add tomato puree and cook for 10 minutes,5. Add cream, garam masala, and kasuri methi,6. Add the cooked chicken,7. Simmer for 10 minutes,8. Garnish with cilantro and serve with naan","500g Chicken,1 cup Yogurt,1 tbsp Lemon juice,1 tbsp Ginger-garlic paste,2 tbsp Butter,1 cup Tomato puree,1/2 cup Cream,1 tsp Garam masala,1 tsp Kasuri methi,Fresh cilantro",/src/assets/recipes/ind008.jpg,"Creamy,Popular,Restaurant Style"
ind009,Palak Paneer,Indian,Vegetarian,"1. Blanch spinach leaves in boiling water,2. Make a puree of the blanched spinach,3. Cut paneer into cubes and lightly fry,4. Heat oil, add cumin seeds and bay leaf,5. Add ginger-garlic paste and green chilies,6. Add tomatoes and cook until soft,7. Add spinach puree and spices,8. Add fried paneer and simmer,9. Finish with cream and garam masala","500g Fresh spinach,250g Paneer,2 Tomatoes,1 tbsp Ginger-garlic paste,2 Green chilies,1 tsp Cumin seeds,1 Bay leaf,1 tsp Garam masala,2 tbsp Cream,3 tbsp Oil",/src/assets/recipes/ind009.jpg,"Vegetarian,Healthy,Green"
ind010,Chole Bhature,Indian,Main Course,"For Chole:,1. Soak chickpeas overnight and pressure cook,2. Heat oil, add cumin seeds and bay leaves,3. Add ginger-garlic paste and onions,4. Add tomatoes and spices,5. Add cooked chickpeas and simmer,For Bhature:,1. Make dough with flour, yogurt, and baking powder,2. Rest for 2 hours,3. Roll into circles and deep fry until puffed","2 cups Chickpeas,2 cups All-purpose flour,1/2 cup Yogurt,1 tsp Baking powder,2 Onions,3 Tomatoes,1 tbsp Ginger-garlic paste,2 tsp Chole masala,Oil for frying",/src/assets/recipes/ind010.jpg,"Street Food,Popular,North Indian"
ind011,Tandoori Chicken,Indian,Chicken,"1. Make cuts in chicken pieces,2. Marinate with lemon juice and salt for 30 minutes,3. Mix yogurt with all spices and red food color,4. Marinate chicken with this mixture for 4-6 hours,5. Preheat oven to 200°C,6. Cook chicken for 45 minutes, turning once,7. Baste with oil occasionally,8. Serve hot with mint chutney","1 kg Chicken,1 cup Yogurt,2 tbsp Lemon juice,1 tbsp Ginger-garlic paste,2 tsp Red chili powder,1 tsp Garam masala,1 tsp Cumin powder,1 tsp Coriander powder,Red food color,2 tbsp Oil",/src/assets/recipes/ind011.jpg,"Grilled,Spicy,Restaurant Style"
ind012,Masala Dosa,Indian,Breakfast,"For Dosa Batter:,1. Soak rice and urad dal separately for 6 hours,2. Grind separately to smooth pastes,3. Mix and ferment overnight,For Potato Filling:,1. Boil and mash potatoes,2. Temper with mustard seeds, curry leaves,3. Add onions, green chilies, and turmeric,To Make Dosa:,1. Spread batter on hot griddle,2. Add filling and fold,3. Serve with chutney and sambar","3 cups Rice,1 cup Urad dal,4 large Potatoes,2 Onions,1 tsp Mustard seeds,10 Curry leaves,2 Green chilies,1/2 tsp Turmeric,Oil for cooking",/src/assets/recipes/ind012.jpg,"South Indian,Breakfast,Fermented"
ind013,Aloo Gobi,Indian,Vegetarian,"1. Cut potatoes and cauliflower into medium pieces,2. Heat oil in a pan, add cumin seeds,3. Add ginger and green chilies,4. Add potatoes and cook for 5 minutes,5. Add cauliflower and all spices,6. Cover and cook on low heat for 15 minutes,7. Stir occasionally to prevent sticking,8. Garnish with cilantro","3 medium Potatoes,1 medium Cauliflower,1 tsp Cumin seeds,1 inch Ginger,2 Green chilies,1 tsp Turmeric,1 tsp Coriander powder,1/2 tsp Red chili powder,3 tbsp Oil,Fresh cilantro",/src/assets/recipes/ind013.jpg,"Vegetarian,Dry Curry,Healthy"
ind014,Chicken Tikka Masala,Indian,Chicken,"1. Marinate chicken with yogurt and spices for 2 hours,2. Grill chicken until cooked through,3. Heat oil in a pan, add onions,4. Add ginger-garlic paste and tomatoes,5. Add cream and tomato puree,6. Add grilled chicken and simmer,7. Season with garam masala,8. Garnish with cilantro","500g Chicken cubes,1 cup Yogurt,2 Onions,3 Tomatoes,1 tbsp Ginger-garlic paste,1/2 cup Cream,1/2 cup Tomato puree,2 tsp Garam masala,1 tsp Red chili powder,Fresh cilantro",/src/assets/recipes/ind014.jpg,"Creamy,Popular,Restaurant Style"
ind015,Samosa,Indian,Snack,"For Filling:,1. Boil and mash potatoes,2. Heat oil, add cumin seeds,3. Add green peas and spices,4. Mix with mashed potatoes,For Wrapper:,1. Make dough with flour, oil, and water,2. Roll into circles and cut in half,3. Form cones and fill with potato mixture,4. Seal edges with water,5. Deep fry until golden brown","2 cups All-purpose flour,4 Potatoes,1 cup Green peas,1 tsp Cumin seeds,1 tsp Garam masala,1 tsp Coriander powder,2 Green chilies,1 inch Ginger,Oil for frying",/src/assets/recipes/ind015.jpg,"Street Food,Fried,Popular"
ind016,Fish Curry,Indian,Fish,"1. Clean and cut fish into pieces,2. Marinate with turmeric and salt,3. Heat oil and lightly fry fish pieces,4. In the same oil, add mustard seeds,5. Add onions, ginger-garlic paste,6. Add tomatoes and coconut milk,7. Add curry leaves and spices,8. Add fried fish and simmer,9. Cook until fish is tender","500g Fish fillets,1 cup Coconut milk,2 Onions,3 Tomatoes,1 tbsp Ginger-garlic paste,1 tsp Mustard seeds,10 Curry leaves,1 tsp Turmeric,2 tsp Coriander powder,1 tsp Red chili powder",/src/assets/recipes/ind016.jpg,"Coastal,Spicy,Coconut"
ind017,Gulab Jamun,Indian,Dessert,"For Syrup:,1. Make sugar syrup with cardamom and rose water,For Jamuns:,1. Mix milk powder, flour, and baking soda,2. Add milk to form soft dough,3. Make small balls,4. Deep fry on low heat until golden,5. Soak in warm syrup for 2 hours,6. Serve warm or cold","1 cup Milk powder,1/4 cup All-purpose flour,1/4 tsp Baking soda,3-4 tbsp Milk,1.5 cups Sugar,1.5 cups Water,4-5 Cardamom pods,1 tsp Rose water,Oil for frying",/src/assets/recipes/ind017.jpg,"Dessert,Sweet,Festival"
world001,Chicken Burger,American,Fast Food,"For Chicken Patty:,1. Season ground chicken with salt, pepper, and garlic powder,2. Form into patties,3. Cook on grill or pan for 6-7 minutes each side,Assembly:,1. Toast burger buns,2. Spread mayo on bottom bun,3. Add lettuce, tomato, and onion,4. Place chicken patty,5. Add cheese if desired,6. Top with pickles and top bun","500g Ground chicken,4 Burger buns,4 Cheese slices,2 Tomatoes,1 Onion,Lettuce leaves,Pickles,Mayonnaise,Salt and pepper",/src/assets/recipes/world001.jpg,"Fast Food,American,Grilled"
world002,Margherita Pizza,Italian,Main Course,"For Dough:,1. Mix flour, yeast, salt, and water,2. Knead until smooth and elastic,3. Rise for 1 hour,Assembly:,1. Roll out dough,2. Spread tomato sauce,3. Add mozzarella cheese,4. Add fresh basil leaves,5. Drizzle with olive oil,6. Bake at 220°C for 12-15 minutes","2 cups Pizza flour,1 tsp Active yeast,1 cup Tomato sauce,200g Fresh mozzarella,Fresh basil leaves,3 tbsp Olive oil,1 tsp Salt,3/4 cup Warm water",/src/assets/recipes/world002.jpg,"Italian,Vegetarian,Classic"
world003,Fish and Chips,British,Main Course,"For Chips:,1. Cut potatoes into thick strips,2. Double fry - once at 140°C, then at 180°C,For Fish:,1. Make batter with flour, beer, and seasoning,2. Coat fish fillets in batter,3. Deep fry until golden and crispy,4. Serve with chips, mushy peas, and tartar sauce","4 Fish fillets (cod or haddock),4 large Potatoes,1 cup Plain flour,1 cup Beer,1 tsp Baking powder,Salt and pepper,Oil for frying,Tartar sauce,Mushy peas",/src/assets/recipes/world003.jpg,"British,Fried,Traditional"
world004,Pad Thai,Thai,Main Course,"1. Soak rice noodles in warm water until soft,2. Heat oil in a wok,3. Add garlic and shrimp,4. Push to one side, scramble eggs,5. Add drained noodles,6. Add fish sauce, tamarind, and palm sugar,7. Add bean sprouts and chives,8. Garnish with peanuts and lime","200g Rice noodles,200g Shrimp,2 Eggs,2 cloves Garlic,2 tbsp Fish sauce,2 tbsp Tamarind paste,2 tbsp Palm sugar,1 cup Bean sprouts,2 Green onions,1/4 cup Peanuts,Lime wedges",/src/assets/recipes/world004.jpg,"Thai,Noodles,Street Food"
world005,Caesar Salad,American,Salad,"For Dressing:,1. Mix anchovy paste, garlic, lemon juice,2. Add egg yolk and whisk,3. Slowly add olive oil while whisking,4. Add parmesan cheese,Assembly:,1. Tear romaine lettuce into pieces,2. Toss with dressing,3. Add croutons and more parmesan,4. Serve immediately","2 heads Romaine lettuce,1/2 cup Parmesan cheese,1 cup Croutons,2 cloves Garlic,2 Anchovy fillets,1 Egg yolk,1/4 cup Lemon juice,1/2 cup Olive oil,Black pepper",/src/assets/recipes/world005.jpg,"Salad,American,Classic"
world006,Sushi Rolls,Japanese,Main Course,"For Sushi Rice:,1. Cook sushi rice with rice vinegar and sugar,2. Cool to room temperature,Assembly:,1. Place nori on bamboo mat,2. Spread rice evenly,3. Add cucumber, avocado, and fish,4. Roll tightly using the mat,5. Cut into pieces with sharp knife,6. Serve with soy sauce and wasabi","2 cups Sushi rice,4 Nori sheets,200g Fresh fish (salmon/tuna),1 Cucumber,1 Avocado,3 tbsp Rice vinegar,1 tbsp Sugar,Soy sauce,Wasabi,Pickled ginger",/src/assets/recipes/world006.jpg,"Japanese,Raw Fish,Healthy"
world007,Beef Tacos,Mexican,Main Course,"1. Season ground beef with cumin, chili powder, and paprika,2. Cook beef in a pan until browned,3. Warm tortillas in a dry pan,4. Fill tortillas with beef,5. Top with lettuce, tomatoes, cheese,6. Add sour cream and salsa,7. Serve with lime wedges","500g Ground beef,8 Corn tortillas,1 cup Shredded cheese,2 Tomatoes,1 head Lettuce,1 Onion,Sour cream,Salsa,Lime wedges,Mexican spices",/src/assets/recipes/world007.jpg,"Mexican,Street Food,Spicy"
world008,Greek Salad,Greek,Salad,"1. Cut tomatoes, cucumbers, and red onion,2. Add olives and feta cheese,3. Make dressing with olive oil, lemon juice, and oregano,4. Toss everything together,5. Season with salt and pepper,6. Let marinate for 15 minutes before serving","4 Tomatoes,2 Cucumbers,1 Red onion,200g Feta cheese,1 cup Kalamata olives,1/4 cup Olive oil,2 tbsp Lemon juice,1 tsp Dried oregano,Salt and pepper",/src/assets/recipes/world008.jpg,"Greek,Healthy,Vegetarian"
world009,French Onion Soup,French,Soup,"1. Slice onions thinly,2. Cook onions slowly in butter until caramelized (45 mins),3. Add wine and cook until reduced,4. Add beef stock and thyme,5. Simmer for 30 minutes,6. Ladle into bowls,7. Top with bread and gruyere cheese,8. Broil until cheese is bubbly","6 large Onions,4 tbsp Butter,1/2 cup Dry white wine,6 cups Beef stock,1 tsp Fresh thyme,6 slices French bread,1.5 cups Gruyere cheese,Salt and pepper",/src/assets/recipes/world009.jpg,"French,Soup,Comfort Food"
world010,Chocolate Chip Cookies,American,Dessert,"1. Cream butter and sugars together,2. Beat in eggs and vanilla,3. Mix in flour, baking soda, and salt,4. Fold in chocolate chips,5. Drop spoonfuls on baking sheet,6. Bake at 180°C for 10-12 minutes,7. Cool on wire rack","2 1/4 cups All-purpose flour,1 cup Butter,3/4 cup Brown sugar,3/4 cup White sugar,2 Eggs,2 tsp Vanilla extract,1 tsp Baking soda,1 tsp Salt,2 cups Chocolate chips",/src/assets/recipes/world010.jpg,"Dessert,American,Baked"
